benchmark,model,subject,total,correct,valid,ambiguous,accuracy_all_pct,accuracy_valid_pct,historical_yes,historical_yes_pct
MASCQA,Qwen3-1.7B,Electrical,36,11,36,0,30.555555555555557,30.555555555555557,11,30.555555555555557
MASCQA,Qwen3-1.7B,Fluid,14,9,14,0,64.28571428571429,64.28571428571429,9,64.28571428571429
MASCQA,Qwen3-1.7B,Magnetism,15,5,15,0,33.333333333333336,33.333333333333336,5,33.333333333333336
MASCQA,Qwen3-1.7B,Material Applications,53,27,53,0,50.943396226415096,50.943396226415096,27,50.943396226415096
MASCQA,Qwen3-1.7B,Material characterization,14,4,14,0,28.571428571428573,28.571428571428573,4,28.571428571428573
MASCQA,Qwen3-1.7B,Material manufacturing,91,32,91,0,35.16483516483517,35.16483516483517,32,35.16483516483517
MASCQA,Qwen3-1.7B,Material processing,35,11,35,0,31.428571428571427,31.428571428571427,11,31.428571428571427
MASCQA,Qwen3-1.7B,Material testing,9,8,9,0,88.88888888888889,88.88888888888889,8,88.88888888888889
MASCQA,Qwen3-1.7B,Mechanical,96,34,96,0,35.416666666666664,35.416666666666664,34,35.416666666666664
MASCQA,Qwen3-1.7B,Miscellaneous,8,2,8,0,25.0,25.0,2,25.0
MASCQA,Qwen3-1.7B,Phase transition,41,11,41,0,26.829268292682926,26.829268292682926,11,26.829268292682926
MASCQA,Qwen3-1.7B,Thermodynamics,114,45,114,0,39.473684210526315,39.473684210526315,45,39.473684210526315
MASCQA,Qwen3-1.7B,Transport phenomena,24,11,24,0,45.833333333333336,45.833333333333336,11,45.833333333333336
MASCQA,Qwen3-4B,Atomic structure,100,50,99,1,50.0,50.505050505050505,51,51.0
MASCQA,Qwen3-4B,Electrical,36,22,36,0,61.111111111111114,61.111111111111114,22,61.111111111111114
MASCQA,Qwen3-4B,Fluid,14,8,14,0,57.142857142857146,57.142857142857146,8,57.142857142857146
MASCQA,Qwen3-4B,Magnetism,15,8,15,0,53.333333333333336,53.333333333333336,8,53.333333333333336
MASCQA,Qwen3-4B,Material Applications,53,40,53,0,75.47169811320755,75.47169811320755,40,75.47169811320755
MASCQA,Qwen3-4B,Material characterization,14,13,14,0,92.85714285714286,92.85714285714286,13,92.85714285714286
MASCQA,Qwen3-4B,Material manufacturing,91,56,90,1,61.53846153846154,62.22222222222222,57,62.637362637362635
MASCQA,Qwen3-4B,Material processing,35,25,35,0,71.42857142857143,71.42857142857143,25,71.42857142857143
MASCQA,Qwen3-4B,Material testing,9,7,9,0,77.77777777777777,77.77777777777777,7,77.77777777777777
MASCQA,Qwen3-4B,Mechanical,96,53,96,0,55.208333333333336,55.208333333333336,53,55.208333333333336
MASCQA,Qwen3-4B,Miscellaneous,8,5,8,0,62.5,62.5,5,62.5
MASCQA,Qwen3-4B,Phase transition,41,24,41,0,58.53658536585366,58.53658536585366,24,58.53658536585366
MASCQA,Qwen3-4B,Thermodynamics,114,60,114,0,52.63157894736842,52.63157894736842,60,52.63157894736842
MASCQA,Qwen3-4B,Transport phenomena,24,16,24,0,66.66666666666667,66.66666666666667,16,66.66666666666667
MASCQA,Qwen3-8B,Atomic structure,100,61,99,1,61.0,61.61616161616162,62,62.0
MASCQA,Qwen3-8B,Electrical,36,23,36,0,63.888888888888886,63.888888888888886,23,63.888888888888886
MASCQA,Qwen3-8B,Fluid,14,10,14,0,71.42857142857143,71.42857142857143,10,71.42857142857143
